municipio;idh
Aceguá;0.687
Água Santa;0.75
Agudo;0.694
Ajuricaba;0.753
Alecrim;0.672
Alegrete;0.74
Alegria;0.695
Almirante Tamandaré do Sul;0.74
Alpestre;0.671
Alto Alegre;0.747
Alto Feliz;0.734
Alvorada;0.699
Amaral Ferrador;0.624
Ametista do Sul;0.682
André da Rocha;0.72
Anta Gorda;0.74
Antônio Prado;0.758
Arambaré;0.691
Araricá;0.679
Aratiba;0.772
Arroio do Meio;0.769
Arroio do Padre;0.669
Arroio do Sal;0.74
Arroio do Tigre;0.707
Arroio dos Ratos;0.698
Arroio Grande;0.657
Arvorezinha;0.694
Augusto Pestana;0.743
Áurea;0.707
Bagé;0.74
Balneário Pinhal;0.696
Barão;0.748
Barão de Cotegipe;0.719
Barão do Triunfo;0.61
Barra do Guarita;0.734
Barra do Quaraí;0.662
Barra do Ribeiro;0.67
Barra do Rio Azul;0.723
Barra Funda;0.763
Barracão;0.71
Barros Cassal;0.65
Benjamin Constant do Sul;0.619
Bento Gonçalves;0.778
Boa Vista das Missões;0.676
Boa Vista do Buricá;0.762
Boa Vista do Cadeado;0.703
Boa Vista do Incra;0.731
Boa Vista do Sul;0.728
Bom Jesus;0.666
Bom Princípio;0.746
Bom Progresso;0.723
Bom Retiro do Sul;0.739
Boqueirão do Leão;0.7
Bossoroca;0.692
Bozano;0.745
Braga;0.674
Brochier;0.699
Butiá;0.689
Caçapava do Sul;0.704
Cacequi;0.7
Cachoeira do Sul;0.742
Cachoeirinha;0.757
Cacique Doble;0.662
Caibaté;0.719
Caiçara;0.699
Camaquã;0.697
Camargo;0.736
Cambará do Sul;0.697
Campestre da Serra;0.706
Campina das Missões;0.738
Campinas do Sul;0.76
Campo Bom;0.745
Campo Novo;0.703
Campos Borges;0.708
Candelária;0.674
Cândido Godói;0.728
Candiota;0.698
Canela;0.748
Canguçu;0.65
Canoas;0.75
Canudos do Vale;0.713
Capão Bonito do Sul;0.637
Capão da Canoa;0.743
Capão do Cipó;0.672
Capão do Leão;0.637
Capela de Santana;0.661
Capitão;0.746
Capivari do Sul;0.766
Caraá;0.652
Carazinho;0.766
Carlos Barbosa;0.796
Carlos Gomes;0.739
Casca;0.785
Caseiros;0.703
Catuípe;0.739
Caxias do Sul;0.782
Centenário;0.701
Cerrito;0.649
